track name=ClinGenClass type=bedDetail description="ClinGen Gene-Disease Classification" visibility=3 group=phenDis url="https://search.clinicalgenome.org/kb/gene-validity/$$" itemRgb=On 
browser pack ncbiRefSeqCurated
#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	rgbID	ID	Description
chr1	2160133	2241652	Shprintzen-Goldberg Syndrome	1000	.	2160133	2241652	0,0,102	4841	SKI Gene-Disease Classification with Shprintzen-Goldberg Syndrome - Definitive
chr1	6484847	6521004	Nonsyndromic Genetic Deafness	1000	.	6484847	6521004	153,153,255	9bdbd958-1ad2-447a-9ccd-ed86f308577a--2018-09-20T20:03:22	ESPN Gene-Disease Classification with Nonsyndromic Genetic Deafness - Limited
chr1	6484847	6521004	Nonsyndromic Genetic Deafness	1000	.	6484847	6521004	0,0,102	7c63a581-ad69-4f18-b68b-d1b2cef5e699--2018-02-27T17:00:00	ESPN Gene-Disease Classification with Nonsyndromic Genetic Deafness - Definitive
chr1	10270763	10441661	Hereditary Pheochromocytoma-Paraganglioma	1000	.	10270763	10441661	153,153,255	8365	KIF1B Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Limited
chr1	11845786	11866160	Homocystinuria Due To Methylene Tetrahydrofolate Reductase Deficiency	1000	.	11845786	11866160	0,0,102	cbfc5297-ed0d-4d7c-bca6-747114ed2b17--2019-06-18T16:00:00	MTHFR Gene-Disease Classification with Homocystinuria Due To Methylene Tetrahydrofolate Reductase Deficiency - Definitive
chr1	17345224	17380665	Hereditary Pheochromocytoma-Paraganglioma	1000	.	17345224	17380665	0,0,102	8356	SDHB Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Definitive
chr1	19197923	19229293	Hyperprolinemia Type 2	1000	.	19197923	19229293	51,51,255	5edc3f72-31e0-47f8-bcec-e3e5b81c97ae--2019-09-13T17:27:15	ALDH4A1 Gene-Disease Classification with Hyperprolinemia Type 2 - Moderate
chr1	22979681	22988029	Immunodeficiency Due To A Classical Component Pathway Complement Deficiency	1000	.	22979681	22988029	0,0,102	3216	C1QB Gene-Disease Classification with Immunodeficiency Due To A Classical Component Pathway Complement Deficiency - Definitive
chr1	24128366	24151949	3-Hydroxy-3-Methylglutaric Aciduria	1000	.	24128366	24151949	0,0,102	f4d084e5-a740-4bfd-a850-d6db900d4a4e--2018-06-26T16:00:00	HMGCL Gene-Disease Classification with 3-Hydroxy-3-Methylglutaric Aciduria - Definitive
chr1	26377795	26394125	Hypertrophic Cardiomyopathy	1000	.	26377795	26394125	153,153,255	d9f35d3c-2d30-4947-9d10-87d21405586e--2018-08-01T16:33:16	TRIM63 Gene-Disease Classification with Hypertrophic Cardiomyopathy - Limited
